Timestamp,Uniquename,Anticipated Grad Date,Questions/suggestions? (if any)
11/7/2019 18:32:35,rsorkin,2022,
11/7/2019 18:33:36,calberto,2022,
11/7/2019 18:39:05,rckhzouz,2021,
11/7/2019 18:39:08,vallemkr,2022,
11/7/2019 18:39:33,aveekdg,2023,N/A
11/7/2019 18:45:44,Leonhadi,2021,
11/7/2019 18:48:09,neelrp,2021,
11/7/2019 18:48:38,ahonzik,2022,
11/7/2019 18:49:48,doraguo,2023,
11/7/2019 18:49:53,fuhu,2020,bigger font
11/7/2019 18:50:14,freduyang,2023,
11/7/2019 18:59:39,baderm,2022,
11/7/2019 18:59:39,lockejus,2023,
11/7/2019 18:59:39,realdy,2020,
11/7/2019 18:59:53,mgmii,2023,
11/7/2019 19:00:04,aryans,2023,
11/7/2019 19:00:46,ocsean,2023,
11/7/2019 19:01:32,Mohami,2022,
11/7/2019 19:01:57,tybrandt,2023,
11/7/2019 19:04:20,yandachu,2022,
11/7/2019 19:04:20,vsharm,2022,
11/7/2019 19:04:38,nischal,2021,
11/7/2019 19:04:55,rajasg,2021,
11/7/2019 19:05:04,devliang,2022,
11/7/2019 19:05:25,ibrahimk,2022,
11/7/2019 19:05:43,agedeon,2022,
11/7/2019 19:06:13,abrahaja,2022,
11/7/2019 19:06:24,wlim,2021,
11/7/2019 19:07:15,theocruz,2021,
11/7/2019 19:07:50,sjaehnig,2023,
11/7/2019 19:08:09,ebutch,2021,
11/7/2019 19:08:16,ushoot,2021,was the ssh thing from CSPrag 201? :)>
11/7/2019 19:09:31,angelai,2023,
11/7/2019 19:10:14,rmariana,2023,
11/7/2019 19:12:28,yamanq,2022,
11/7/2019 19:14:57,adrianjj,2022,
11/7/2019 19:18:01,weirongw,2023,
11/7/2019 19:20:03,wiljwang,2023,
11/7/2019 19:20:21,rushilk,2022,
11/7/2019 19:20:23,daviwang,2022,
11/7/2019 19:21:40,alexrliu,2023,
11/7/2019 19:24:17,alexzw,2021,
11/7/2019 19:25:43,mabelcha,2021,
11/7/2019 19:26:09,sfancher,2023,
11/7/2019 19:26:13,cblesy,2023,
11/7/2019 19:26:24,ikong,2020,
11/7/2019 19:26:28,edpeper,2020,
11/7/2019 19:43:26,singhha,2022,
11/7/2019 20:05:56,Gmgodwin,2023,
11/7/2019 20:06:18,ananyaj,2023,
11/7/2019 20:14:29,omidsh,2023,
11/7/2019 20:25:19,nikhilsd,2021,
11/7/2019 20:27:46,rqkang,2023,
11/7/2019 20:30:02,joycesin,2020,
11/7/2019 20:30:10,drvander,2023,
11/7/2019 21:02:49,eashwar,2020,
