Timestamp,Uniquename,Anticipated Grad Date,Questions/suggestions? (if any)
11/14/2019 18:34:02,Mohami,2022,
11/14/2019 18:34:27,aryans,2023,
11/14/2019 18:34:34,sjaehnig,2023,
11/14/2019 18:36:08,mtamba,2023,
11/14/2019 18:37:04,Dharivib,2023,
11/14/2019 18:37:16,vjanet,2021,
11/14/2019 18:37:47,eashwar,2020,
11/14/2019 18:38:18,rsorkin,2022,
11/14/2019 18:38:42,ebutch,2021,
11/14/2019 18:39:46,vallemkr,2022,
11/14/2019 18:41:57,hoal,2023,
11/14/2019 18:42:01,daviwang,2022,
11/14/2019 18:49:10,jgleona,2022,
11/14/2019 18:50:20,Sszaman,2022,
11/14/2019 18:52:40,darmawan,2023,
11/14/2019 18:53:14,rkhzouz,2021,
11/14/2019 18:53:28,rogr,2023,
11/14/2019 18:56:15,angelai,2023,
11/14/2019 18:57:27,ibirley,2023,
11/14/2019 18:58:05,hoganmas,2023,
11/14/2019 19:00:20,yashmr,2022,
11/14/2019 19:00:50,alexrliu,2023,
11/14/2019 19:01:40,devliang,2022,
11/14/2019 19:01:53,wiljwang,2023,
11/14/2019 19:02:16,rushilk,2022,
11/14/2019 19:03:16,ushoot,2021,cool hoodies
11/14/2019 19:03:46,nischal,2021,
11/14/2019 19:04:04,aveekdg,2023,N/A
11/14/2019 19:07:15,yamanq,2022,
11/14/2019 19:07:32,singhha,2022,
11/14/2019 19:08:30,tybrandt,2023,
11/14/2019 19:08:52, criggle,2023,
11/14/2019 19:08:58,ocsean,2023,
11/14/2019 19:10:13,tomasfe,2023,I'm just curious if I'm a part of the core members yet. I know I've skipped the past couple of meetings but I know I've come to 3 consecutive ones by now.
11/14/2019 19:10:57,adrianjj,2022,
11/14/2019 19:11:23,tanst,2023,
11/14/2019 19:13:38,ondrejk,2023,
11/14/2019 19:13:39,ricwong,2023,
11/14/2019 19:16:03,kylewilk,2023,
11/14/2019 19:23:37,cdmiddle,2021,
11/14/2019 19:24:39,lokrajs,2021,
11/14/2019 19:24:51,abbansal,2022,
11/14/2019 19:25:13,Lockejus,2023,
11/14/2019 19:43:11,abrahaja,2022,
11/14/2019 19:58:28,nikhilsd,2021,none'); DROP TABLE response;--
11/14/2019 20:19:25,weirongw,2023,
11/14/2019 20:27:47,snad,2023,neet
11/14/2019 20:55:46,Aliibrah ,2022,
