Timestamp,Uniquename,Anticipated Grad Date,Are you on the core team?,Questions/suggestions? (if any)
12/5/2019 18:43:23,calberto,2022,Yes,
12/5/2019 18:43:28,ebutch,2021,Yes,
12/5/2019 18:43:38,agedeon,2022,Yes,more food
12/5/2019 18:43:57,leonhadi,2022,Yes,
12/5/2019 18:44:00,nischal,2021,Yes,
12/5/2019 18:44:18,rsorkin,2022,Yes,
12/5/2019 18:44:37,mohami,2022,Yes,
12/5/2019 18:44:51,Ushoot,2021,No,How does joining core team work? 
12/5/2019 18:45:39,alexzw,2021,Yes,
12/5/2019 18:46:00,mtamba,2023,Yes,
12/5/2019 18:46:06,aryans,2023,Yes,
12/5/2019 18:46:07,sjaehnig,2023,Yes,
12/5/2019 18:46:36,dharivib,2023,Yes,
12/5/2019 18:46:40,wiljwang,2023,Yes,
12/5/2019 18:46:58,Daviwang,2022,Yes,
12/5/2019 18:48:56,rkhzouz,2021,Yes,
12/5/2019 18:51:00,vallemkr,2022,Yes,
12/5/2019 18:51:32,hoal,2023,Yes,
12/5/2019 18:53:56,rogr,2023,Yes,
12/5/2019 19:02:43,criggle,2023,Yes,
12/5/2019 19:03:06,ibirley,2023,No,
12/5/2019 19:03:52,angelai,2023,Yes,
12/5/2019 19:04:09,abbansal,2022,Yes,
12/5/2019 19:05:07,ibrahimk,2022,No,
12/5/2019 19:06:02,lokrajs ,2022,Yes,
12/5/2019 19:07:22,cdmiddle,2021,No,
12/5/2019 19:09:37,doraguo,2023,Yes,
12/5/2019 19:10:16,brianwan,2021,No,
12/5/2019 19:10:34,nitishv,2023,No,
12/5/2019 19:14:48,Brchan,2021,Yes,
12/5/2019 19:14:51,alatreil,2023,Yes,
12/5/2019 19:23:37,Realdy,2020,Yes,
12/5/2019 19:24:39,ryansiu,2022,Yes,
12/5/2019 19:24:47,Jushutch,2022,No,
12/5/2019 19:28:36,nikhilsd,2021,No,Vim is better than Emacs.
12/5/2019 19:31:53,weirongw,2023,No,"(I think I should be on the core team after tonight, right?)"
12/5/2019 19:32:49,Mabelcha ,2021,No,
12/5/2019 19:32:50,adrianjj,2022,No,
12/5/2019 19:33:14,tatefish,2023,No,
12/5/2019 19:33:40,Cjrwill,2021,Yes,
12/5/2019 19:34:02,ibhuiyan,2021,Yes,
12/5/2019 19:34:08,theocruz,2021,No,
12/5/2019 19:34:37,vnagel,2019,Yes,yes
12/5/2019 19:34:55,rckhzouz,2021,Yes,
12/5/2019 19:38:14,abrahaja,2022,No,
12/5/2019 19:38:31,eashwar,2020,Yes,
12/5/2019 19:42:43,singhha,2022,Yes,
12/5/2019 19:50:08,asvin,2022,No,
12/5/2019 20:10:17,yamanq,2022,Yes,
